,ID,Address,Longitude,Latitude
283,Space Invader PA_0363, 116 avenue de Choisy,2.360009,48.826298
284,Space Invader PA_0364, 347 rue de Vaugirard,2.29638,48.83711
285,Space Invader PA_0365, 268 rue de Vaugirard,2.300281,48.839249
286,Space Invader PA_0366, 127 rue Castagnary,2.30356,48.8299
287,Space Invader PA_0367, 108 rue Brancion,2.3017,48.82981
288,Space Invader PA_0369, 7 rue Jules VallÃƒÂ¨s,2.385082,48.853404
289,Space Invader PA_0371, Ouest de la fontaine de Montreuil,2.38316,48.85037
290,Space Invader PA_0372, 63 rue du Faubourg Saint-Antoine,2.37404,48.85191
291,Space Invader PA_0373, 121 rue Oberkampf,2.378809,48.866061
292,Space Invader PA_0374, 29 boulevard Raspail,2.326541,48.853198
293,Space Invader PA_0375, 2 rue de l'Est,2.395388,48.870922
294,Space Invader PA_0376, 28 rue de Poitou,2.362442,48.86167
295,Space Invader PA_0377, 52 boulevard Voltaire,2.37105,48.86302
296,Space Invader PA_0378, 45 rue de Poitou,2.36131,48.86174
297,Space Invader PA_0379, 17 rue des Blancs-Manteaux,2.35731,48.85881
298,Space Invader PA_0380, port du Gros-caillou,2.309289,48.862947
299,Space Invader PA_0381," place Joffre, allÃƒÂ©e Thomy Thierry",2.301291,48.852271
300,Space Invader PA_0384, 26 rue du Moulin Joly,2.378334,48.869815
301,Space Invader PA_0385, 41 rue Dunois,2.36856,48.83149
302,Space Invader PA_0386, croisement rue de Rome/bvd des Batignolles,2.32087,48.881849
303,Space Invader PA_0388, Gare Montparnasse,2.320092,48.841083
304,Space Invader PA_0389, 86 rue de Botzaris,2.389352,48.879467
305,Space Invader PA_0390, 1 passage Gustave Lepeu,2.386367,48.856021
306,Space Invader PA_0391, 114 quai de Bercy,2.385019,48.83174
307,Space Invader PA_0392, 35 quai des Grands Augustins,2.342448,48.854565
308,Space Invader PA_0394, pont Saint-Michel,2.344578,48.854351
309,Space Invader PA_0395, 14 rue Chomel,2.32449,48.85182
310,Space Invader PA_0396, 49 rue de Beaubourg,2.35441,48.862668
311,Space Invader PA_0398, 1 pont Morland,2.365655,48.84742
312,Space Invader PA_0399, pont de l'Alma,2.302184,48.862586
313,Space Invader PA_0400, 93 quai d'Orsay,2.302284,48.862166
314,Space Invader PA_0401, fontaine de Cuvier,2.354947,48.843999
315,Space Invader PA_0402, quai Anantole France,2.32015,48.86244
316,Space Invader PA_0403, porte N-E du parc George Brassens,2.30289,48.83208
317,Space Invader PA_0404, face au 2 place de la Bourse,2.342066,48.869401
318,Space Invader PA_0405, face au 110 rue Castagnary,2.305931,48.830168
319,Space Invader PA_0406, 4 rue de Braque,2.357133,48.860747
320,Space Invader PA_0407, 93 rue Vieille du Temple,2.360883,48.860102
321,Space Invader PA_0410, 0 rue de la Mare,2.38822,48.868393
322,Space Invader PA_0411, 68 rue Orfila,2.397994,48.867053
323,Space Invader PA_0412, 15 rue Robineau,2.393552,48.864799
324,Space Invader PA_0413, 3 boulevard Malsherbes,2.323209,48.869917
325,Space Invader PA_0414, 2 rue du 11 Novembre 1918,2.410014,48.891977
326,Space Invader PA_0415, 34 rue Titon,2.386345,48.852895
327,Space Invader PA_0416, 9 rue de Marseille,2.363221,48.871537
328,Space Invader PA_0418, 139 avenue Michelet,2.344331,48.901461
329,Space Invader PA_0420, 45 rue Anselme,2.336024,48.909131
330,Space Invader PA_0421, 71 rue des Rondeaux,2.39571,48.86476
331,Space Invader PA_0422, 32 rue Dunois,2.36918,48.83124
332,Space Invader PA_0423, 63 avenue Franklin Delano Roosevelt,2.309915,48.871812
333,Space Invader PA_0424, 13 rue de la Manutention,2.295582,48.864665
334,Space Invader PA_0426, face au pavillon d'Italie,2.357022,48.816064
335,Space Invader PA_0427, 10 rue de Tolbiac,2.375363,48.829912
336,Space Invader PA_0428, 7 avenue de la Grande ArmÃƒÂ©e,2.292356,48.874504
337,Space Invader PA_0429, 22 avenue Carnot,2.292479,48.876277
338,Space Invader PA_0430, le Comptoire GÃƒÂ©nÃƒÂ©ral,2.36513,48.872183
339,Space Invader PA_0431, rond-point de la porte de Vincennes,2.414288,48.847269
340,Space Invader PA_0432 & 573, 24 rue de l'Est,2.393294,48.871131
341,Space Invader PA_0433, 33 rue de Sibuet,2.402278,48.843322
342,Space Invader PA_0434, 19 rue Lamblardie,2.39799,48.840725
343,Space Invader PA_0436, Centre culturel de Serbie,2.350814,48.860945
344,Space Invader PA_0437, place du Colonel Fabien,2.370595,48.877651
345,Space Invader PA_0438, petite ceinture pont de la rue Manin,2.385862,48.882949
346,Space Invader PA_0439, 134 boulevard de Clichy,2.32822,48.884036
347,Space Invader PA_0441, 7 rue Gabriel PÃƒÂ©ri,2.356289,48.815533
348,Space Invader PA_0442, 46 Olivier MÃƒÂ©tra,2.393054,48.87446
349,Space Invader PA_0443, entrÃƒÂ©e sud des Buttes Chaumont,2.381094,48.87615
350,Space Invader PA_0444, 14 rue Chaudron,2.365842,48.883149
351,Space Invader PA_0445, 181 rue Lafayette,2.360816,48.880303
352,Space Invader PA_0446, 174 rue Saint-Maur,2.373237,48.870261
353,Space Invader PA_0447, ÃƒÂ  l'intÃƒÂ©rieur d'Artazart,2.36377,48.87265
354,Space Invader PA_0448, 80 quai Jemmapes,2.365148,48.872148
355,Space Invader PA_0449, 73 rue du Faubourg Saint-HonorÃƒÂ©,2.314716,48.871552
356,Space Invader PA_0450, 5 rue Volta,2.356862,48.86477
357,Space Invader PA_0451 & PA_0654, 39 rue de Charonne,2.376638,48.853334
358,Space Invader PA_0452, 5 passage Saint-Antoine,2.376367,48.852811
359,Space Invader PA_0453, 24 ÃƒÂ  32 rue des Amandiers,2.389631,48.864562
