ID;Address;Longitude;Latitude
LJU_0031;Krekov trg 2, Ljubljana Puppet Theatre;14.510076;46.050301
LJU_0032;Stari trg 21;14.506731;46.046924
LJU_0033;Stari trg 2;14.506085;46.048308
LJU_0034;Pod Tran?o 2;14.506106;46.048428
LJU_0035;Vodnikov trg 5, Atrium - Go through the door from the main street;14.509209;46.050524
LJU_0036;Resljeva cesta 2, Dragon Bridge;14.510446;46.052221
LJU_0037;Slovenska cesta 30, Knafljev prehod;14.503363;46.051719
LJU_0038;Štefanova ulica 8, Argentinski park;14.502993;46.053985
LJU_0039;Ajdovš?ina 1, Trg Ajdovš?ina;14.504499;46.053881
LJU_0040;Dalmatinova ulica 1;14.504701;46.054348
LJU_0041;Cesta 27. aprila 2, Botanical garden in Tivoli of University of Ljubljana;14.493746;46.051861
LJU_0042;Gornji trg 44;14.50961;46.045117
LY_0001;Unknown;4.8409347;45.7725319
LY_0002;Unknown;4.8325007;45.7665932
LY_0003;Unknown;4.8294553;45.7678238
LY_0004;Unknown;4.8293403;45.7722009
LY_0005;Unknown;4.8310328;45.7713215
LY_0006;Unknown;4.8280854;45.7678010
LY_0007;Unknown;4.8280686;45.7649284
LY_0008;Unknown;4.8519664;45.7626123
LY_0009;Unknown;4.8518785;45.7617993
LY_0010;Unknown;4.8530841;45.7622090
LY_0011;Unknown;4.8561684;45.7635911
LY_0012;Unknown;4.8521543;45.7703008
LY_0013;Unknown;4.8306218;45.7687485
LY_0014;Unknown;4.8279133;45.7680946
LY_0015;Unknown;4.832897;45.75988
LY_0016;Unknown;4.8311459;45.7549069
LY_0017;Unknown;4.8299926;45.752773
LY_0018;Unknown;4.8342381;45.7653772
LY_0019;Unknown;4.843533;45.769512
LY_0020;Unknown;4.8344929;45.7669260
LY_0021;Unknown;4.8341222;45.7678595
LY_0022;Unknown;4.8344588;45.7685814
LY_0023;Unknown;4.8348417;45.7698391
LY_0024;Unknown;4.8357951;45.7706730
LY_0025;Unknown;4.834774;45.7756003
LY_0026;Unknown;4.8375207;45.7750826
LY_0027;Unknown;4.8524031;45.7837757
LY_0028;Unknown;4.8526552;45.7840581
LY_0029;Unknown;4.8489274;45.7800933
LY_0030;Unknown;4.809512;45.7808201
LY_0031;Unknown;4.809315;45.77832
LY_0032;Unknown;4.8071174;45.7762036
LY_0033;Unknown;4.8143403;45.7702188
LY_0034;Unknown;4.8171352;45.7678576
LY_0035;Unknown;4.8202372;45.7677355
LY_0036;Unknown;4.8218263;45.7603063
LY_0037;Unknown;4.8208362;45.7568849
LY_0038;Unknown;4.82829;45.7496704
LY_0039;Unknown;4.843969;45.7770042
LY_0040;Unknown;4.846146;45.7521306
LY_0041;Unknown;4.8123377;45.7546873
LY_0042;Unknown;4.8207583;45.7772060
LY_0043;Unknown;4.8268181;45.7569053
